date,party,support,type
2023-06-01,P,4100,count
2023-06-01,P,0.09699999999999999,prop
2023-06-01,S,4100,count
2023-06-01,S,0.284,prop
2023-06-01,V,4100,count
2023-06-01,V,0.062,prop
2023-06-01,others,4100,count
2023-06-01,others,0,prop
2023-05-01,D,3810,count
2023-05-01,D,0.20800000000000002,prop
2023-05-01,B,3810,count
2023-05-01,B,0.102,prop
2023-05-01,C,3810,count
2023-05-01,C,0.076,prop
2023-05-01,F,3810,count
2023-05-01,F,0.055,prop
2023-05-01,J,3810,count
2023-05-01,J,0.049,prop
2023-05-01,M,3810,count
2023-05-01,M,0.069,prop
2023-05-01,P,3810,count
2023-05-01,P,0.10099999999999999,prop
2023-05-01,S,3810,count
2023-05-01,S,0.284,prop
2023-05-01,V,3810,count
2023-05-01,V,0.057,prop
2023-05-01,others,3810,count
2023-05-01,others,0,prop
2023-04-01,D,3660,count
2023-04-01,D,0.21899999999999997,prop
2023-04-01,B,3660,count
2023-04-01,B,0.096,prop
2023-04-01,C,3660,count
2023-04-01,C,0.07400000000000001,prop
2023-04-01,F,3660,count
2023-04-01,F,0.06,prop
2023-04-01,J,3660,count
2023-04-01,J,0.044000000000000004,prop
2023-04-01,M,3660,count
2023-04-01,M,0.062,prop
2023-04-01,P,3660,count
2023-04-01,P,0.1,prop
2023-04-01,S,3660,count
2023-04-01,S,0.278,prop
2023-04-01,V,3660,count
2023-04-01,V,0.066,prop
2023-04-01,others,3660,count
2023-04-01,others,0,prop
2023-03-01,D,4290,count
2023-03-01,D,0.223,prop
2023-03-01,B,4290,count
2023-03-01,B,0.099,prop
2023-03-01,C,4290,count
2023-03-01,C,0.091,prop
2023-03-01,F,4290,count
2023-03-01,F,0.055999999999999994,prop
2023-03-01,J,4290,count
2023-03-01,J,0.051,prop
2023-03-01,M,4290,count
2023-03-01,M,0.063,prop
2023-03-01,P,4290,count
2023-03-01,P,0.094,prop
2023-03-01,S,4290,count
2023-03-01,S,0.251,prop
2023-03-01,V,4290,count
2023-03-01,V,0.071,prop
2023-03-01,others,4290,count
2023-03-01,others,0,prop
2023-02-01,D,3570,count
2023-02-01,D,0.225,prop
2023-02-01,B,3570,count
2023-02-01,B,0.10800000000000001,prop
2023-02-01,C,3570,count
2023-02-01,C,0.077,prop
2023-02-01,F,3570,count
2023-02-01,F,0.055999999999999994,prop
2023-02-01,J,3570,count
2023-02-01,J,0.05,prop
2023-02-01,M,3570,count
2023-02-01,M,0.053,prop
2023-02-01,P,3570,count
2023-02-01,P,0.121,prop
